County GOP_PCT GOP_NUM DEM_PCT DEM_NUM AIP_PCT AIP_NUM Margin_PCT Margin_NUM 
Rockingham	71.15	14519	27.10	5530	1.75	358	44.05	8989
Moore	70.68	9406	27.25	3627	2.07	275	43.43	5779
Columbus	70.64	8468	27.57	3305	1.79	214	43.07	5163
Buncombe	70.38	32091	27.69	12626	1.92	877	42.69	19465
Duplin	70.61	7153	28.20	2857	1.18	120	42.41	4296
Transylvania	69.73	5860	27.62	2321	2.65	223	42.11	3539
Wake	70.32	56808	28.23	22807	1.45	1174	42.09	34001
Cumberland	70.46	24376	28.48	9853	1.06	366	41.98	14523
Pitt	70.41	14406	28.63	5858	0.95	195	41.78	8548
Brunswick	69.06	6153	28.06	2500	2.87	256	41.00	3653
Beaufort	69.65	6915	29.22	2901	1.13	112	40.43	4014
Stanly	69.32	12459	29.03	5218	1.64	295	40.29	7241
Guilford	69.46	61381	29.20	25800	1.34	1185	40.27	35581
Alexander	68.95	5865	29.01	2468	2.03	173	39.94	3397
Macon	69.20	4134	29.28	1749	1.52	91	39.92	2385
Pender	68.90	3327	29.30	1415	1.80	87	39.59	1912
Burke	68.96	14447	29.58	6197	1.46	306	39.38	8250
Franklin	68.37	5431	29.47	2341	2.17	172	38.90	3090
Rutherford	68.80	9506	29.97	4140	1.23	170	38.84	5366
Mecklenburg	68.52	77546	29.80	33730	1.68	1900	38.71	43816
Martin	68.76	4188	30.21	1840	1.03	63	38.55	2348
Surry	67.78	10497	30.39	4706	1.83	284	37.39	5791
Forsyth	67.69	46415	30.52	20928	1.79	1226	37.17	25487
Polk	67.31	3121	30.54	1416	2.16	100	36.77	1705
Currituck	66.67	1578	30.33	718	3.00	71	36.33	860
Stokes	66.86	7118	30.57	3254	2.57	274	36.30	3864
Halifax	66.60	8908	31.71	4241	1.69	226	34.89	4667
Vance	66.85	6491	32.10	3117	1.05	102	34.75	3374
Granville	66.82	6037	32.30	2918	0.89	80	34.52	3119
Chowan	66.39	1906	32.60	936	1.01	29	33.79	970
Montgomery	65.67	4417	32.34	2175	1.99	134	33.33	2242
Pamlico	66.11	1847	32.89	919	1.00	28	33.21	928
Sampson	65.76	9684	33.19	4888	1.05	154	32.57	4796
Haywood	64.84	8903	32.88	4515	2.28	313	31.96	4388
Clay	65.19	1545	33.63	797	1.18	28	31.56	748
Bladen	64.72	4205	33.88	2201	1.40	91	30.85	2004
Swain	64.45	2052	34.58	1101	0.97	31	29.87	951
Pasquotank	63.07	3906	34.15	2115	2.78	172	28.92	1791
Scotland	63.69	3485	35.42	1938	0.90	49	28.27	1547
Perquimans	62.57	1299	34.83	723	2.60	54	27.75	576
Edgecombe	62.53	8244	35.16	4635	2.31	305	27.37	3609
Ashe	62.95	5784	36.06	3313	0.99	91	26.89	2471
Watauga	62.85	6017	36.05	3451	1.10	105	26.80	2566
Cherokee	62.28	4113	36.51	2411	1.21	80	25.77	1702
Chatham	62.12	6175	36.46	3624	1.43	142	25.66	2551
Lincoln	61.88	8597	36.71	5100	1.40	195	25.17	3497
Washington	61.65	2559	37.24	1546	1.11	46	24.40	1013
Alleghany	61.29	2158	37.03	1304	1.68	59	24.25	854
Durham	61.38	25576	37.36	15566	1.26	525	24.02	10010
Camden	60.20	909	36.82	556	2.98	45	23.38	353
Anson	60.88	3551	37.51	2188	1.61	94	23.37	1363
Richmond	60.84	5692	37.49	3508	1.67	156	23.34	2184
Graham	61.05	1699	37.98	1057	0.97	27	23.07	642
Madison	61.18	3273	38.11	2039	0.71	38	23.07	1234
Bertie	60.54	2874	38.32	1819	1.14	54	22.22	1055
Caswell	59.65	2983	38.43	1922	1.92	96	21.22	1061
Robeson	59.99	11362	39.02	7391	0.99	188	20.97	3971
Warren	59.62	2603	38.89	1698	1.49	65	20.73	905
Jones	58.93	1650	39.04	1093	2.04	57	19.89	557
Jackson	59.11	4709	39.78	3169	1.12	89	19.33	1540
Tyrrell	59.30	676	40.26	459	0.44	5	19.04	217
Hertford	58.34	2794	40.26	1928	1.40	67	18.08	866
Yancey	57.10	3106	41.88	2278	1.03	56	15.22	828
Hoke	56.25	1927	42.79	1466	0.96	33	13.46	461
Gates	51.01	1264	47.50	1177	1.49	37	3.51	87
Northampton	47.71	2997	51.46	3233	0.83	52	-3.76	-236
Orange	47.66	11632	51.76	12634	0.58	142	-4.11	-1002
