County,DEM_PCT,DEM_NUM,GOP_PCT,GOP_NUM,OTH_PCT,OTH_NUM,Total_NUM
Pender,41.71,9832,57.34,13517,0.95,224,23573
Perquimans,42.57,2761,56.65,3674,0.79,51,6486
Person,45.28,8410,53.88,10007,0.84,156,18573
Pitt,53.99,39763,45.39,33429,0.62,456,73648
Polk,41.63,4394,56.71,5986,1.67,176,10556
Randolph,28.23,16280,70.49,40644,1.27,735,57659
Richmond,50.21,9586,48.80,9316,1.00,190,19092
Robeson,56.44,22315,42.70,16883,0.87,343,39541
Rockingham,42.22,16730,56.62,22435,1.16,458,39623
Rowan,37.98,23272,60.85,37284,1.17,718,61274
Rutherford,33.62,9595,65.29,18631,1.09,310,28536
Sampson,45.43,11753,53.93,13952,0.63,164,25869
Scotland,57.33,8105,42.24,5972,0.43,61,14138
Stanly,31.14,8815,67.80,19193,1.06,299,28307
Stokes,31.66,6816,66.58,14335,1.76,380,21531
Surry,35.50,10399,63.41,18574,1.09,320,29293
Swain,48.40,2803,50.01,2896,1.59,92,5791
Transylvania,43.04,7203,55.57,9299,1.39,233,16735
Tyrrell,48.82,932,50.29,960,0.89,17,1909
Union,36.22,31038,62.88,53882,0.91,777,85697
Vance,63.02,13095,36.50,7584,0.48,99,20778
Wake,56.92,247914,42.08,183291,1.00,4353,435558
Warren,68.68,6663,30.84,2992,0.47,46,9701
Washington,58.01,3734,41.43,2667,0.56,36,6437
Watauga,51.31,14513,47.03,13303,1.66,470,28286
Wayne,45.41,22507,54.07,26800,0.52,259,49566
Wilkes,30.09,8889,68.21,20152,1.70,502,29543
Wilson,51.64,19754,47.93,18338,0.43,164,38256
Yadkin,26.37,4501,72.39,12355,1.24,211,17067
Yancey,46.19,4470,51.89,5021,1.92,186,9677
