County,GOP_PCT,GOP_NUM,DEM_PCT,DEM_NUM,IND_PCT,IND_NUM,LIB_PCT,LIB_NUM,OTH_PCT,OTH_NUM,Margin_PCT,Margin_NUM
Union,45.77,9012,51.16,10073,2.47,487,0.52,102,0.07,14,-5.39,-1061
Lee,45.84,4847,51.31,5426,2.37,251,0.38,40,0.09,10,-5.48,-579
Sampson,46.06,8097,51.71,9090,1.75,308,0.33,58,0.14,25,-5.65,-993
Cleveland,46.08,10828,52.00,12219,1.42,333,0.47,111,0.03,8,-5.92,-1391
Brunswick,45.35,5897,52.00,6761,2.04,265,0.55,71,0.07,9,-6.64,-864
Montgomery,45.74,3587,52.65,4129,1.26,99,0.32,25,0.03,2,-6.91,-542
Jackson,44.47,4140,52.17,4857,2.64,246,0.54,50,0.18,17,-7.70,-717
Currituck,44.06,1668,52.30,1980,2.56,97,0.98,37,0.11,4,-8.24,-312
Yancey,44.57,3363,53.14,4010,1.46,110,0.41,31,0.42,32,-8.57,-647
Harnett,44.70,7284,53.95,8791,1.01,165,0.26,42,0.08,13,-9.25,-1507
Madison,44.02,2629,53.62,3202,1.81,108,0.35,21,0.20,12,-9.59,-573
Pasquotank,43.39,3340,53.62,4128,2.33,179,0.48,37,0.18,14,-10.24,-788
Person,43.55,3281,54.57,4111,1.38,104,0.45,34,0.05,4,-11.02,-830
Durham,40.24,19276,52.12,24969,6.37,3052,0.57,274,0.70,333,-11.88,-5693
Greene,43.44,2221,55.45,2835,0.66,34,0.39,20,0.06,3,-12.01,-614
Vance,43.15,4217,55.40,5415,1.03,101,0.36,35,0.06,6,-12.26,-1198
Perquimans,42.40,1210,54.66,1560,2.21,63,0.60,17,0.14,4,-12.26,-350
Chatham,41.00,5414,54.10,7144,3.64,481,0.75,99,0.51,67,-13.10,-1730
Edgecombe,42.09,5916,56.52,7945,1.05,148,0.26,36,0.08,11,-14.44,-2029
Haywood,41.33,7217,56.20,9814,2.00,349,0.38,66,0.09,16,-14.87,-2597
Swain,41.39,1457,56.45,1987,1.99,70,0.14,5,0.03,1,-15.06,-530
Halifax,41.19,6033,57.10,8364,1.23,180,0.38,56,0.10,15,-15.91,-2331
Duplin,41.34,5403,57.57,7524,0.83,109,0.24,32,0.01,1,-16.23,-2121
Pamlico,39.55,1504,58.48,2224,1.26,48,0.53,20,0.18,7,-18.93,-720
Camden,38.94,813,58.05,1212,2.16,45,0.57,12,0.29,6,-19.11,-399
Chowan,38.91,1424,58.63,2146,1.94,71,0.44,16,0.08,3,-19.73,-722
Hyde,38.95,807,58.93,1221,1.79,37,0.24,5,0.10,2,-19.98,-414
Orange,32.39,9261,53.26,15226,11.77,3364,1.05,300,1.53,438,-20.86,-5965
Franklin,38.63,3508,59.76,5427,1.15,104,0.42,38,0.04,4,-21.13,-1919
Washington,38.57,1943,59.72,3008,1.35,68,0.30,15,0.06,3,-21.14,-1065
Jones,38.60,1401,60.55,2198,0.50,18,0.30,11,0.06,2,-21.96,-797
Granville,37.99,3513,60.08,5556,1.44,133,0.31,29,0.18,17,-22.09,-2043
Pender,37.79,3018,60.51,4832,1.29,103,0.33,26,0.09,7,-22.71,-1814
Caswell,37.32,2156,61.09,3529,1.14,66,0.36,21,0.09,5,-23.77,-1373
Columbus,34.64,5522,64.06,10212,0.93,148,0.35,55,0.03,5,-29.42,-4690
Martin,34.59,2564,64.09,4750,1.09,81,0.22,16,0.01,1,-29.49,-2186
Richmond,33.69,3911,63.88,7416,1.93,224,0.42,49,0.08,9,-30.19,-3505
Tyrrell,34.01,466,64.74,887,1.02,14,0.22,3,0.00,0,-30.73,-421
Scotland,31.45,2133,65.56,4446,2.29,155,0.60,41,0.10,7,-34.10,-2313
Hertford,30.59,1854,67.69,4102,1.32,80,0.33,20,0.07,4,-37.10,-2248
Bladen,30.70,2745,68.27,6104,0.72,64,0.29,26,0.02,2,-37.57,-3359
Bertie,30.10,1695,68.59,3863,0.80,45,0.28,16,0.23,13,-38.49,-2168
Warren,29.13,1582,69.06,3750,1.36,74,0.28,15,0.17,9,-39.93,-2168
Anson,27.77,1968,70.16,4973,1.57,111,0.32,23,0.18,13,-42.40,-3005
Robeson,27.89,6982,70.39,17618,1.32,331,0.29,72,0.11,27,-42.49,-10636
Gates,27.60,957,70.23,2435,1.76,61,0.32,11,0.09,3,-42.63,-1478
Northampton,26.92,1847,71.90,4933,0.90,62,0.23,16,0.04,3,-44.98,-3086
Hoke,25.24,1168,72.95,3376,1.21,56,0.45,21,0.15,7,-47.71,-2208
