County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,LIB_NUM,LIB_PCT,NEW_NUM,NEW_PCT,Margin_NUM,Margin_PCT,Total_NUM
Douglas,13493,72.24,5086,27.23,77,0.41,22,0.12,8407,45.01,18678
Early,1918,58.46,1359,41.42,2,0.06,2,0.06,559,17.04,3281
Echols,422,62.99,245,36.57,2,0.30,1,0.15,177,26.42,670
Effingham,3933,67.13,1905,32.51,14,0.24,7,0.12,2028,34.61,5859
Elbert,2796,56.77,2118,43.01,11,0.22,0,0.00,678,13.77,4925
Emanuel,3530,58.95,2387,39.86,54,0.90,17,0.28,1143,19.09,5988
Evans,1707,62.01,1023,37.16,14,0.51,9,0.33,684,24.85,2753
Fannin,4271,66.45,2123,33.03,27,0.42,6,0.09,2148,33.42,6427
Fayette,16443,77.84,4593,21.74,73,0.35,14,0.07,11850,56.10,21123
Floyd,14697,62.85,8548,36.55,111,0.47,30,0.13,6149,26.29,23386
Forsyth,7947,76.83,2347,22.69,42,0.41,8,0.08,5600,54.14,10344
Franklin,2615,58.57,1842,41.25,6,0.13,2,0.04,773,17.31,4465
Fulton,91785,42.75,120752,56.25,906,0.42,1246,0.58,-28967,-13.49,214689
Gilmer,3353,70.65,1363,28.72,24,0.51,6,0.13,1990,41.93,4746
Glascock,580,73.42,210,26.58,0,0.00,0,0.00,370,46.84,790
Glynn,11126,63.18,6339,35.99,78,0.44,68,0.39,4787,27.18,17611
Gordon,6051,71.65,2369,28.05,18,0.21,7,0.08,3682,43.60,8445
Grady,2989,61.10,1883,38.49,10,0.20,10,0.20,1106,22.61,4892
Greene,1432,43.93,1818,55.77,9,0.28,1,0.03,-386,-11.84,3260
Gwinnett,66372,75.47,20948,23.82,523,0.59,97,0.11,45424,51.65,87940
Habersham,4871,69.45,2114,30.14,22,0.31,7,0.10,2757,39.31,7014
Hall,17415,68.71,7782,30.71,110,0.43,37,0.15,9633,38.01,25344
Hancock,621,23.99,1947,75.20,11,0.42,10,0.39,-1326,-51.22,2589
Haralson,4529,65.17,2404,34.59,15,0.22,2,0.03,2125,30.58,6950
Harris,3414,63.94,1905,35.68,17,0.32,3,0.06,1509,28.26,5339
Hart,3044,54.88,2476,44.64,20,0.36,7,0.13,568,10.24,5547
Heard,1551,63.77,874,35.94,3,0.12,4,0.16,677,27.84,2432
Henry,10882,71.11,4348,28.41,57,0.37,17,0.11,6534,42.69,15304
Houston,15748,64.02,8664,35.22,106,0.43,79,0.32,7084,28.80,24597
Irwin,1226,57.00,918,42.68,4,0.19,3,0.14,308,14.32,2151
Jackson,4407,62.56,2607,37.00,17,0.24,14,0.20,1800,25.55,7045
Jasper,1474,55.08,1188,44.39,10,0.37,4,0.15,286,10.69,2676
Jeff_Davis,2050,62.03,1242,37.58,7,0.21,6,0.18,808,24.45,3305
Jefferson,2788,54.13,2346,45.54,10,0.19,7,0.14,442,8.58,5151
Jenkins,1288,57.30,953,42.39,7,0.31,0,0.00,335,14.90,2248
Johnson,1567,62.83,927,37.17,0,0.00,0,0.00,640,25.66,2494
Jones,3618,57.41,2662,42.24,11,0.17,11,0.17,956,15.17,6302
Lamar,2035,57.83,1416,40.24,53,1.51,15,0.43,619,17.59,3519
Lanier,725,50.81,698,48.91,1,0.07,3,0.21,27,1.89,1427
Laurens,6929,57.89,4879,40.76,133,1.11,29,0.24,2050,17.13,11970
Lee,2875,74.04,995,25.62,10,0.26,3,0.08,1880,48.42,3883
Liberty,3100,51.24,2906,48.03,32,0.53,12,0.20,194,3.21,6050
Lincoln,1417,60.97,893,38.43,8,0.34,6,0.26,524,22.55,2324
Long,858,55.32,681,43.91,4,0.26,8,0.52,177,11.41,1551
Lowndes,10855,62.63,6427,37.08,35,0.20,16,0.09,4428,25.55,17333
Lumpkin,2688,67.20,1286,32.15,19,0.48,7,0.18,1402,35.05,4000
Macon,1412,38.19,2268,61.35,7,0.19,10,0.27,-856,-23.15,3697
Madison,3724,69.10,1639,30.41,15,0.28,11,0.20,2085,38.69,5389
Marion,804,48.67,844,51.09,2,0.12,2,0.12,-40,-2.42,1652
McDuffie,3231,65.04,1704,34.30,12,0.24,21,0.42,1527,30.74,4968
McIntosh,1273,45.08,1527,54.07,13,0.46,11,0.39,-254,-8.99,2824
Meriwether,3101,51.31,2934,48.54,9,0.15,0,0.00,167,2.76,6044
Miller,1105,68.00,515,31.69,2,0.12,3,0.18,590,36.31,1625
Mitchell,2590,53.29,2260,46.50,5,0.10,5,0.10,330,6.79,4860
Monroe,2570,56.38,1970,43.22,11,0.24,7,0.15,600,13.16,4558
Montgomery,1228,57.49,903,42.28,5,0.23,0,0.00,325,15.22,2136
Morgan,2108,58.10,1508,41.57,12,0.33,0,0.00,600,16.54,3628
Murray,3996,70.11,1679,29.46,16,0.28,9,0.16,2317,40.65,5700
Muscogee,23058,54.90,18772,44.70,112,0.27,58,0.14,4286,10.20,42000
Newton,5809,64.77,3111,34.69,35,0.39,14,0.16,2698,30.08,8969
Oconee,4265,67.89,1990,31.68,26,0.41,1,0.02,2275,36.21,6282
Oglethorpe,1951,62.61,1154,37.03,7,0.22,4,0.13,797,25.58,3116
Paulding,7329,72.63,2717,26.92,36,0.36,9,0.09,4612,45.70,10091
Peach,2782,48.00,2972,51.28,20,0.35,22,0.38,-190,-3.28,5796
Pickens,3021,67.52,1430,31.96,14,0.31,9,0.20,1591,35.56,4474
Pierce,1947,55.49,1558,44.40,1,0.03,3,0.09,389,11.09,3509
Pike,2074,63.35,1176,35.92,23,0.70,1,0.03,898,27.43,3274
Polk,5454,64.46,2977,35.18,23,0.27,7,0.08,2477,29.28,8461
Pulaski,1400,48.48,1476,51.11,7,0.24,5,0.17,-76,-2.63,2888
Putnam,2111,57.74,1532,41.90,7,0.19,6,0.16,579,15.84,3656
Quitman,296,40.11,436,59.08,4,0.54,2,0.27,-140,-18.97,738
Rabun,2278,63.14,1301,36.06,16,0.44,13,0.36,977,27.08,3608
Randolph,1319,48.94,1369,50.80,4,0.15,3,0.11,-50,-1.86,2695
Richmond,27566,57.12,20489,42.46,118,0.24,85,0.18,7077,14.66,48258
Rockdale,12413,73.77,4330,25.73,65,0.39,18,0.11,8083,48.04,16826
Schley,635,58.91,439,40.72,3,0.28,1,0.09,196,18.18,1078
Screven,2178,59.52,1461,39.93,12,0.33,8,0.22,717,19.60,3659
Seminole,1469,55.54,1171,44.27,2,0.08,3,0.11,298,11.27,2645
Spalding,7730,63.68,4318,35.57,57,0.47,33,0.27,3412,28.11,12138
Stephens,4329,66.09,2185,33.36,27,0.41,9,0.14,2144,32.73,6550
Stewart,832,42.17,1136,57.58,3,0.15,2,0.10,-304,-15.41,1973
Sumter,4289,55.93,3332,43.45,23,0.30,24,0.31,957,12.48,7668
Talbot,802,38.93,1248,60.58,6,0.29,4,0.19,-446,-21.65,2060
Taliaferro,306,39.38,469,60.36,1,0.13,1,0.13,-163,-20.98,777
Tattnall,3172,65.03,1694,34.73,8,0.16,4,0.08,1478,30.30,4878
Taylor,1145,50.13,1134,49.65,3,0.13,2,0.09,11,0.48,2284
Telfair,1805,50.21,1765,49.10,13,0.36,12,0.33,40,1.11,3595
Terrell,1517,52.22,1383,47.61,2,0.07,3,0.10,134,4.61,2905
Thomas,6572,64.78,3530,34.80,24,0.24,19,0.19,3042,29.99,10145
Tift,4760,65.80,2446,33.81,16,0.22,12,0.17,2314,31.99,7234
Toombs,4433,78.89,1152,20.50,25,0.44,9,0.16,3281,58.39,5619
Towns,1783,65.12,942,34.40,11,0.40,2,0.07,841,30.72,2738
Treutlen,970,57.19,726,42.81,0,0.00,0,0.00,244,14.39,1696
Troup,9484,67.31,4562,32.38,36,0.26,7,0.05,4922,34.94,14089
Turner,1312,50.52,1122,43.20,90,3.47,73,2.81,190,7.32,2597
Twiggs,1261,41.96,1730,57.57,9,0.30,5,0.17,-469,-15.61,3005
Union,2396,65.39,1258,34.33,10,0.27,0,0.00,1138,31.06,3664
Upson,4614,63.05,2666,36.43,26,0.36,12,0.16,1948,26.62,7318
Walker,10487,68.63,4753,31.11,31,0.20,9,0.06,5734,37.53,15280
Walton,5974,65.56,3091,33.92,31,0.34,16,0.18,2883,31.64,9112
Ware,4819,52.59,4292,46.84,26,0.28,26,0.28,527,5.75,9163
Warren,897,44.78,1091,54.47,6,0.30,9,0.45,-194,-9.69,2003
Washington,2752,51.12,2615,48.58,5,0.09,11,0.20,137,2.55,5383
Wayne,3340,57.93,2417,41.92,8,0.14,1,0.02,923,16.01,5766
Webster,361,45.70,427,54.05,2,0.25,0,0.00,-66,-8.35,790
Wheeler,709,51.64,658,47.92,4,0.29,2,0.15,51,3.71,1373
White,2648,71.65,1028,27.81,19,0.51,1,0.03,1620,43.83,3696
Whitfield,12761,73.12,4618,26.46,40,0.23,32,0.18,8143,46.66,17451
Wilcox,1235,53.26,1079,46.53,5,0.22,0,0.00,156,6.73,2319
Wilkes,1810,53.71,1549,45.96,8,0.24,3,0.09,261,7.74,3370
Wilkinson,1546,45.30,1831,53.65,25,0.73,11,0.32,-285,-8.35,3413
Worth,2668,66.55,1311,32.70,20,0.50,10,0.25,1357,33.85,4009
Totals,1081331,59.75,714792,39.50,8435,0.47,5099,0.28,366539,20.25,1809657
