County,GOP_NUM,GOP_PCT,DEM_NUM,DEM_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Galveston,4401,42.43,5951,57.38,20,0.19,-1550,-14.94,10372
Garza,794,73.59,285,26.41,0,0.00,509,47.17,1079
Gillespie,1447,55.12,1174,44.72,4,0.15,273,10.40,2625
Glasscock,124,78.48,34,21.52,0,0.00,90,56.96,158
Goliad,554,54.10,468,45.70,2,0.20,86,8.40,1024
Gonzales,1112,45.74,1319,54.26,0,0.00,-207,-8.52,2431
Gray,1871,65.35,986,34.44,6,0.21,885,30.91,2863
Grayson,6277,57.63,4600,42.23,15,0.14,1677,15.40,10892
Gregg,646,39.29,996,60.58,2,0.12,-350,-21.29,1644
Grimes,701,37.37,1175,62.63,0,0.00,-474,-25.27,1876
Guadalupe,1442,43.46,1872,56.42,4,0.12,-430,-12.96,3318
Hale,2143,65.98,1098,33.81,7,0.22,1045,32.17,3248
Hall,1409,74.08,493,25.92,0,0.00,916,48.16,1902
Hamilton,927,48.38,989,51.62,0,0.00,-62,-3.24,1916
Hansford,417,56.58,319,43.28,1,0.14,98,13.30,737
Hardeman,1333,59.43,910,40.57,0,0.00,423,18.86,2243
Hardin,951,47.96,1032,52.04,0,0.00,-81,-4.08,1983
Harris,27188,55.70,21536,44.12,86,0.18,5652,11.58,48810
Harrison,1776,46.69,2023,53.18,5,0.13,-247,-6.49,3804
Hartley,179,52.34,163,47.66,0,0.00,16,4.68,342
Haskell,1430,48.08,1532,51.51,12,0.40,-102,-3.43,2974
Hays,1088,63.70,620,36.30,0,0.00,468,27.40,1708
Hemphill,489,60.67,317,39.33,0,0.00,172,21.34,806
Henderson,1128,39.52,1726,60.48,0,0.00,-598,-20.95,2854
Hidalgo,4285,51.41,4034,48.40,16,0.19,251,3.01,8335
Hill,2446,50.34,2413,49.66,0,0.00,33,0.68,4859
Hockley,765,75.82,235,23.29,9,0.89,530,52.53,1009
Hood,640,57.09,479,42.73,2,0.18,161,14.36,1121
Hopkins,1767,48.85,1845,51.01,5,0.14,-78,-2.16,3617
Houston,763,36.35,1336,63.65,0,0.00,-573,-27.30,2099
Howard,812,54.86,665,44.93,3,0.20,147,9.93,1480
Hudspeth,123,51.25,117,48.75,0,0.00,6,2.50,240
Hunt,3009,46.16,3510,53.84,0,0.00,-501,-7.69,6519
Hutchinson,1115,60.43,730,39.57,0,0.00,385,20.87,1845
Irion,259,68.52,119,31.48,0,0.00,140,37.04,378
Jack,1068,70.22,450,29.59,3,0.20,618,40.63,1521
Jackson,572,54.68,473,45.22,1,0.10,99,9.46,1046
Jasper,611,40.44,898,59.43,2,0.13,-287,-18.99,1511
Jeff_Davis,157,58.15,112,41.48,1,0.37,45,16.67,270
Jefferson,9209,56.74,7006,43.16,16,0.10,2203,13.57,16231
Jim_Hogg,109,29.30,263,70.70,0,0.00,-154,-41.40,372
Jim_Wells,423,36.06,747,63.68,3,0.26,-324,-27.62,1173
Johnson,3181,61.58,1981,38.35,4,0.08,1200,23.23,5166
Jones,1995,55.95,1563,43.83,8,0.22,432,12.11,3566
Karnes,855,44.83,1052,55.17,0,0.00,-197,-10.33,1907
Kaufman,1718,39.27,2657,60.73,0,0.00,-939,-21.46,4375
Kendall,663,63.63,377,36.18,2,0.19,286,27.45,1042
Kenedy,12,9.23,118,90.77,0,0.00,-106,-81.54,130
Kent,363,69.01,163,30.99,0,0.00,200,38.02,526
Kerr,1575,73.36,570,26.55,2,0.09,1005,46.81,2147
Kimble,660,80.39,157,19.12,4,0.49,503,61.27,821
King,85,65.38,45,34.62,0,0.00,40,30.77,130
Kinney,182,47.64,200,52.36,0,0.00,-18,-4.71,382
Kleberg,751,51.94,695,48.06,0,0.00,56,3.87,1446
Knox,992,55.70,784,44.02,5,0.28,208,11.68,1781
Lamar,2887,57.08,2163,42.76,8,0.16,724,14.31,5058
Lamb,1266,74.21,440,25.79,0,0.00,826,48.42,1706
Lampasas,899,60.91,567,38.41,10,0.68,332,22.49,1476
La_Salle,327,40.57,479,59.43,0,0.00,-152,-18.86,806
Lavaca,911,24.27,2842,75.73,0,0.00,-1931,-51.45,3753
Lee,449,27.63,1176,72.37,0,0.00,-727,-44.74,1625
Leon,543,38.59,862,61.27,2,0.14,-319,-22.67,1407
Liberty,1070,53.63,918,46.02,7,0.35,152,7.62,1995
Limestone,1642,38.64,2608,61.36,0,0.00,-966,-22.73,4250
Lipscomb,776,69.35,331,29.58,12,1.07,445,39.77,1119
Live_Oak,484,55.82,383,44.18,0,0.00,101,11.65,867
Llano,439,46.07,514,53.93,0,0.00,-75,-7.87,953
Loving,6,37.50,10,62.50,0,0.00,-4,-25.00,16
Lubbock,3079,60.79,1979,39.07,7,0.14,1100,21.72,5065
Lynn,1268,62.49,754,37.16,7,0.34,514,25.33,2029
McCulloch,1294,63.59,741,36.41,0,0.00,553,27.17,2035
McLennan,5744,51.81,5330,48.07,13,0.12,414,3.73,11087
McMullen,96,50.00,94,48.96,2,1.04,2,1.04,192
Madison,364,44.61,452,55.39,0,0.00,-88,-10.78,816
Marion,443,40.90,640,59.10,0,0.00,-197,-18.19,1083
Martin,330,60.77,213,39.23,0,0.00,117,21.55,543
Mason,807,76.64,244,23.17,2,0.19,563,53.47,1053
Matagorda,1194,58.85,829,40.86,6,0.30,365,17.99,2029
Maverick,311,63.34,180,36.66,0,0.00,131,26.68,491
Medina,1243,46.94,1400,52.87,5,0.19,-157,-5.93,2648
Menard,589,71.57,234,28.43,0,0.00,355,43.13,823
Midland,347,49.57,350,50.00,3,0.43,-3,-0.43,700
Milam,1270,30.86,2842,69.05,4,0.10,-1572,-38.19,4116
Mills,774,63.65,442,36.35,0,0.00,332,27.30,1216
Mitchell,1099,59.57,746,40.43,0,0.00,353,19.13,1845
Montague,1519,51.13,1452,48.87,0,0.00,67,2.26,2971
Montgomery,613,40.36,905,59.58,1,0.07,-292,-19.22,1519
Moore,87,41.23,124,58.77,0,0.00,-37,-17.54,211
Morris,287,26.90,780,73.10,0,0.00,-493,-46.20,1067
Motley,450,56.32,349,43.68,0,0.00,101,12.64,799
Nacogdoches,822,30.41,1879,69.52,2,0.07,-1057,-39.10,2703
Navarro,3341,47.80,3648,52.20,0,0.00,-307,-4.39,6989
Newton,397,41.27,564,58.63,1,0.10,-167,-17.36,962
Nolan,1475,58.76,1035,41.24,0,0.00,440,17.53,2510
Nueces,2481,45.36,2985,54.58,3,0.05,-504,-9.22,5469
Ochiltree,556,67.31,270,32.69,0,0.00,286,34.62,826
Oldham,172,52.28,157,47.72,0,0.00,15,4.56,329
Orange,919,42.43,1247,57.57,0,0.00,-328,-15.14,2166
Palo_Pinto,2001,63.28,1161,36.72,0,0.00,840,26.57,3162
Panola,420,24.21,1312,75.62,3,0.17,-892,-51.41,1735
Parker,2178,66.24,1110,33.76,0,0.00,1068,32.48,3288
Parmer,620,65.75,315,33.40,8,0.85,305,32.34,943
Pecos,524,47.99,562,51.47,6,0.55,-38,-3.48,1092
Polk,508,33.73,994,66.00,4,0.27,-486,-32.27,1506
Potter,3627,57.90,2637,42.10,0,0.00,990,15.80,6264
Presidio,254,44.64,315,55.36,0,0.00,-61,-10.72,569
Rains,202,26.90,544,72.44,5,0.67,-342,-45.54,751
Randall,733,52.66,659,47.34,0,0.00,74,5.32,1392
Reagan,387,62.82,229,37.18,0,0.00,158,25.65,616
Real,479,83.02,98,16.98,0,0.00,381,66.03,577
Red_River,1172,41.30,1666,58.70,0,0.00,-494,-17.41,2838
Reeves,344,46.61,394,53.39,0,0.00,-50,-6.78,738
Refugio,383,36.34,671,63.66,0,0.00,-288,-27.32,1054
Roberts,243,70.03,104,29.97,0,0.00,139,40.06,347
Robertson,751,33.54,1487,66.41,1,0.04,-736,-32.87,2239
Rockwall,289,25.37,850,74.63,0,0.00,-561,-49.25,1139
Runnels,1645,52.26,1494,47.46,9,0.29,151,4.80,3148
Rusk,1033,37.36,1732,62.64,0,0.00,-699,-25.28,2765
Sabine,419,34.18,807,65.82,0,0.00,-388,-31.65,1226
San_Augustine,467,36.26,821,63.74,0,0.00,-354,-27.48,1288
San_Jacinto,296,37.00,503,62.88,1,0.13,-207,-25.88,800
San_Patricio,1388,70.56,579,29.44,0,0.00,809,41.13,1967
San_Saba,682,47.56,752,52.44,0,0.00,-70,-4.88,1434
Schleicher,227,62.36,137,37.64,0,0.00,90,24.73,364
Scurry,1597,77.49,462,22.42,2,0.10,1135,55.07,2061
Shackelford,558,51.10,533,48.81,1,0.09,25,2.29,1092
Shelby,676,25.53,1961,74.06,11,0.42,-1285,-48.53,2648
Sherman,248,64.42,137,35.58,0,0.00,111,28.83,385
Smith,3493,59.85,2343,40.15,0,0.00,1150,19.71,5836
Somervell,241,63.93,136,36.07,0,0.00,105,27.85,377
Starr,79,9.69,736,90.31,0,0.00,-657,-80.61,815
Stephens,1789,60.60,1163,39.40,0,0.00,626,21.21,2952
Sterling,122,42.21,167,57.79,0,0.00,-45,-15.57,289
Stonewall,442,46.92,500,53.08,0,0.00,-58,-6.16,942
Sutton,290,75.92,92,24.08,0,0.00,198,51.83,382
Swisher,887,70.34,374,29.66,0,0.00,513,40.68,1261
Tarrant,20481,68.99,9208,31.01,0,0.00,11273,37.97,29689
Taylor,4050,68.07,1891,31.78,9,0.15,2159,36.29,5950
Terrell,364,80.71,85,18.85,2,0.44,279,61.86,451
Terry,622,60.45,407,39.55,0,0.00,215,20.89,1029
Throckmorton,703,69.81,304,30.19,0,0.00,399,39.62,1007
Titus,469,28.99,1149,71.01,0,0.00,-680,-42.03,1618
Tom_Green,2618,63.11,1528,36.84,2,0.05,1090,26.28,4148
Travis,4847,51.83,4487,47.98,17,0.18,360,3.85,9351
Trinity,456,39.93,686,60.07,0,0.00,-230,-20.14,1142
Tyler,298,30.88,666,69.02,1,0.10,-368,-38.13,965
Upshur,649,29.37,1553,70.27,8,0.36,-904,-40.90,2210
Upton,270,58.82,189,41.18,0,0.00,81,17.65,459
Uvalde,1224,62.10,747,37.90,0,0.00,477,24.20,1971
Val_Verde,854,57.94,620,42.06,0,0.00,234,15.88,1474
Van_Zandt,1502,45.35,1789,54.02,21,0.63,-287,-8.67,3312
Victoria,663,27.94,1710,72.06,0,0.00,-1047,-44.12,2373
Walker,488,39.51,747,60.49,0,0.00,-259,-20.97,1235
Waller,376,42.68,504,57.21,1,0.11,-128,-14.53,881
Ward,216,45.76,256,54.24,0,0.00,-40,-8.47,472
Washington,275,9.94,2491,90.06,0,0.00,-2216,-80.12,2766
Webb,767,32.16,1615,67.71,3,0.13,-848,-35.56,2385
Wharton,1151,42.69,1545,57.31,0,0.00,-394,-14.61,2696
Wheeler,1038,57.86,750,41.81,6,0.33,288,16.05,1794
Wichita,7226,59.82,4853,40.18,0,0.00,2373,19.65,12079
Wilbarger,1590,52.30,1447,47.60,3,0.10,143,4.70,3040
Willacy,389,49.55,396,50.45,0,0.00,-7,-0.89,785
Williamson,1833,33.14,3689,66.70,9,0.16,-1856,-33.56,5531
Wilson,622,29.33,1499,70.67,0,0.00,-877,-41.35,2121
Winkler,162,34.32,310,65.68,0,0.00,-148,-31.36,472
Wise,2141,66.20,1093,33.80,0,0.00,1048,32.41,3234
Wood,1161,41.38,1645,58.62,0,0.00,-484,-17.25,2806
Yoakum,86,56.58,66,43.42,0,0.00,20,13.16,152
Young,1826,58.88,1275,41.12,0,0.00,551,17.77,3101
Zapata,19,6.03,296,93.97,0,0.00,-277,-87.94,315
Zavala,571,71.38,229,28.63,0,0.00,342,42.75,800
Totals,372324,51.88,344542,48.00,867,0.12,27782,3.87,717733
