County,DEM_NUM,DEM_PCT,GOP_NUM,GOP_PCT,OTH_NUM,OTH_PCT,Margin_NUM,Margin_PCT,Total_NUM
Garza,829,52.60,737,46.76,10,0.63,92,5.84,1576
Gillespie,816,23.27,2687,76.62,4,0.11,-1871,-53.35,3507
Glasscock,207,56.56,152,41.53,7,1.91,55,15.03,366
Goliad,711,48.87,741,50.93,3,0.21,-30,-2.06,1455
Gonzales,2730,63.62,1554,36.22,7,0.16,1176,27.40,4291
Gray,2802,31.09,6197,68.76,14,0.16,-3395,-37.67,9013
Grayson,9866,57.26,7312,42.44,53,0.31,2554,14.82,17231
Gregg,7765,41.44,10679,56.99,293,1.56,-2914,-15.55,18737
Grimes,1713,61.66,1053,37.90,12,0.43,660,23.76,2778
Guadalupe,3116,45.91,3657,53.88,14,0.21,-541,-7.97,6787
Hale,3695,43.31,4784,56.07,53,0.62,-1089,-12.76,8532
Hall,1192,55.88,939,44.02,2,0.09,253,11.86,2133
Hamilton,1136,41.51,1592,58.17,9,0.33,-456,-16.66,2737
Hansford,512,27.84,1322,71.89,5,0.27,-810,-44.05,1839
Hardeman,1182,44.52,1472,55.44,1,0.04,-290,-10.92,2655
Hardin,4315,66.89,2115,32.79,21,0.33,2200,34.10,6451
Harris,148275,45.57,168170,51.68,8954,2.75,-19895,-6.11,325399
Harrison,5108,51.36,4613,46.39,224,2.25,495,4.97,9945
Hartley,397,48.71,413,50.67,5,0.61,-16,-1.96,815
Haskell,2776,76.05,866,23.73,8,0.22,1910,52.32,3650
Hays,2916,64.39,1606,35.46,7,0.15,1310,28.93,4529
Hemphill,333,28.20,847,71.72,1,0.08,-514,-43.52,1181
Henderson,3411,57.14,2521,42.23,38,0.64,890,14.91,5970
Hidalgo,18663,57.59,13628,42.05,115,0.35,5035,15.54,32406
Hill,4340,65.83,2226,33.76,27,0.41,2114,32.07,6593
Hockley,3169,59.15,2159,40.29,30,0.56,1010,18.86,5358
Hood,1238,56.61,943,43.12,6,0.27,295,13.49,2187
Hopkins,3228,60.26,2117,39.52,12,0.22,1111,20.74,5357
Houston,2703,61.67,1591,36.30,89,2.03,1112,25.37,4383
Howard,4844,58.12,3403,40.83,88,1.06,1441,17.29,8335
Hudspeth,409,59.71,267,38.98,9,1.31,142,20.73,685
Hunt,4116,49.94,4084,49.55,42,0.51,32,0.39,8242
Hutchinson,3295,33.81,6432,65.99,20,0.21,-3137,-32.18,9747
Irion,246,50.51,238,48.87,3,0.62,8,1.64,487
Jack,1079,44.37,1342,55.18,11,0.45,-263,-10.81,2432
Jackson,2268,57.10,1670,42.04,34,0.86,598,15.06,3972
Jasper,3004,58.64,2102,41.03,17,0.33,902,17.61,5123
Jeff_Davis,195,51.18,182,47.77,4,1.05,13,3.41,381
Jefferson,40533,57.63,29395,41.80,403,0.57,11138,15.83,70331
Jim_Hogg,1255,84.85,224,15.15,0,0.00,1031,69.70,1479
Jim_Wells,5330,65.71,2773,34.18,9,0.11,2557,31.53,8112
Johnson,3844,45.59,4510,53.49,77,0.91,-666,-7.90,8431
Jones,2772,55.60,2196,44.04,18,0.36,576,11.56,4986
Karnes,2556,62.57,1526,37.36,3,0.07,1030,25.21,4085
Kaufman,3008,52.15,2717,47.10,43,0.75,291,5.05,5768
Kendall,549,26.14,1544,73.52,7,0.33,-995,-47.38,2100
Kenedy,78,51.32,74,48.68,0,0.00,4,2.64,152
Kent,491,70.34,205,29.37,2,0.29,286,40.97,698
Kerr,1323,28.79,3252,70.76,21,0.46,-1929,-41.97,4596
Kimble,550,43.89,699,55.79,4,0.32,-149,-11.90,1253
King,133,76.88,39,22.54,1,0.58,94,54.34,173
Kinney,358,62.92,211,37.08,0,0.00,147,25.84,569
Kleberg,3773,64.32,2092,35.66,1,0.02,1681,28.66,5866
Knox,1365,65.06,729,34.75,4,0.19,636,30.31,2098
Lamar,5084,56.02,3964,43.68,28,0.31,1120,12.34,9076
Lamb,3089,51.42,2764,46.01,154,2.56,325,5.41,6007
Lampasas,1372,52.59,1222,46.84,15,0.57,150,5.75,2609
La_Salle,718,68.64,326,31.17,2,0.19,392,37.47,1046
Lavaca,4002,72.47,1507,27.29,13,0.24,2495,45.18,5522
Lee,1369,55.85,1048,42.76,34,1.39,321,13.09,2451
Leon,1803,67.18,868,32.34,13,0.48,935,34.84,2684
Liberty,3902,53.12,3361,45.76,82,1.12,541,7.36,7345
Limestone,3472,63.00,2023,36.71,16,0.29,1449,26.29,5511
Lipscomb,267,22.08,939,77.67,3,0.25,-672,-55.59,1209
Live_Oak,770,42.26,1048,57.52,4,0.22,-278,-15.26,1822
Llano,1131,61.47,704,38.26,5,0.27,427,23.21,1840
Loving,46,48.42,42,44.21,7,7.37,4,4.21,95
Lubbock,15340,43.08,20065,56.35,202,0.57,-4725,-13.27,35607
Lynn,1872,65.85,953,33.52,18,0.63,919,32.33,2843
McCulloch,1579,57.46,1165,42.39,4,0.15,414,15.07,2748
McLennan,20100,57.17,14926,42.46,130,0.37,5174,14.71,35156
McMullen,240,49.90,241,50.10,0,0.00,-1,-0.20,481
Madison,909,58.57,607,39.11,36,2.32,302,19.46,1552
Marion,904,53.46,742,43.88,45,2.66,162,9.58,1691
Martin,831,69.08,350,29.09,22,1.83,481,39.99,1203
Mason,575,40.58,833,58.79,9,0.64,-258,-18.21,1417
Matagorda,2971,49.53,2975,49.60,52,0.87,-4,-0.07,5998
Maverick,1498,70.03,639,29.87,2,0.09,859,40.16,2139
Medina,2325,53.23,2028,46.43,15,0.34,297,6.80,4368
Menard,491,44.68,608,55.32,0,0.00,-117,-10.64,1099
Midland,5842,33.11,11343,64.28,460,2.61,-5501,-31.17,17645
Milam,3640,65.51,1898,34.16,18,0.32,1742,31.35,5556
Mills,869,46.05,1012,53.63,6,0.32,-143,-7.58,1887
Mitchell,2131,63.61,1208,36.06,11,0.33,923,27.55,3350
Montague,2346,52.54,2101,47.05,18,0.40,245,5.49,4465
Montgomery,3510,50.60,3309,47.70,118,1.70,201,2.90,6937
Moore,1547,38.43,2463,61.19,15,0.37,-916,-22.76,4025
Morris,1952,55.08,1569,44.27,23,0.65,383,10.81,3544
Motley,439,47.10,480,51.50,13,1.39,-41,-4.40,932
Nacogdoches,3522,52.32,3042,45.19,168,2.50,480,7.13,6732
Navarro,5540,62.24,3361,37.76,0,0.00,2179,24.48,8901
Newton,1815,70.08,756,29.19,19,0.73,1059,40.89,2590
Nolan,3247,57.22,2421,42.66,7,0.12,826,14.56,5675
Nueces,29361,60.70,18907,39.09,100,0.21,10454,21.61,48368
Ochiltree,521,21.76,1870,78.11,3,0.13,-1349,-56.35,2394
Oldham,326,50.70,313,48.68,4,0.62,13,2.02,643
Orange,9078,62.02,5483,37.46,76,0.52,3595,24.56,14637
Palo_Pinto,3022,52.63,2695,46.93,25,0.44,327,5.70,5742
Panola,2187,48.41,2264,50.11,67,1.48,-77,-1.70,4518
Parker,3629,50.77,3467,48.50,52,0.73,162,2.27,7148
Parmer,1090,39.12,1674,60.09,22,0.79,-584,-20.97,2786
Pecos,1724,54.44,1412,44.58,31,0.98,312,9.86,3167
Polk,2037,60.63,1268,37.74,55,1.64,769,22.89,3360
Potter,8989,38.70,14202,61.14,38,0.16,-5213,-22.44,23229
Presidio,866,69.39,376,30.13,6,0.48,490,39.26,1248
Rains,680,62.90,401,37.10,0,0.00,279,25.80,1081
Randall,3282,31.96,6958,67.76,29,0.28,-3676,-35.80,10269
Reagan,621,54.91,489,43.24,21,1.86,132,11.67,1131
Real,273,41.81,377,57.73,3,0.46,-104,-15.92,653
Red_River,2850,64.94,1527,34.79,12,0.27,1323,30.15,4389
Reeves,2235,58.48,1549,40.53,38,0.99,686,17.95,3822
Refugio,1777,62.53,1062,37.37,3,0.11,715,25.16,2842
Roberts,104,23.37,339,76.18,2,0.45,-235,-52.81,445
Robertson,2669,73.81,935,25.86,12,0.33,1734,47.95,3616
Rockwall,917,57.93,652,41.19,14,0.88,265,16.74,1583
Runnels,1938,47.56,2128,52.22,9,0.22,-190,-4.66,4075
Rusk,4390,40.50,6001,55.36,449,4.14,-1611,-14.86,10840
Sabine,1208,65.55,619,33.59,16,0.87,589,31.96,1843
San_Augustine,1269,64.68,638,32.52,55,2.80,631,32.16,1962
San_Jacinto,1115,71.02,448,28.54,7,0.45,667,42.48,1570
San_Patricio,5246,62.52,3129,37.29,16,0.19,2117,25.23,8391
San_Saba,1251,59.35,849,40.28,8,0.38,402,19.07,2108
Schleicher,351,43.39,455,56.24,3,0.37,-104,-12.85,809
Scurry,3020,57.09,2235,42.25,35,0.66,785,14.84,5290
Shackelford,713,51.04,684,48.96,0,0.00,29,2.08,1397
Shelby,3266,65.41,1679,33.63,48,0.96,1587,31.78,4993
Sherman,305,30.72,686,69.08,2,0.20,-381,-38.36,993
Smith,8494,40.80,12042,57.84,285,1.37,-3548,-17.04,20821
Somervell,345,43.13,441,55.13,14,1.75,-96,-12.00,800
Starr,4051,93.49,280,6.46,2,0.05,3771,87.03,4333
Stephens,1357,44.80,1664,54.94,8,0.26,-307,-10.14,3029
Sterling,193,51.47,182,48.53,0,0.00,11,2.94,375
Stonewall,864,73.66,306,26.09,3,0.26,558,47.57,1173
Sutton,474,52.03,437,47.97,0,0.00,37,4.06,911
Swisher,1777,57.27,1310,42.22,16,0.52,467,15.05,3103
Tarrant,59385,44.66,72813,54.75,788,0.59,-13428,-10.09,132986
Taylor,9347,43.17,12258,56.62,45,0.21,-2911,-13.45,21650
Terrell,352,54.49,291,45.05,3,0.46,61,9.44,646
Terry,2237,53.75,1908,45.84,17,0.41,329,7.91,4162
Throckmorton,689,60.76,442,38.98,3,0.26,247,21.78,1134
Titus,2701,54.61,2216,44.80,29,0.59,485,9.81,4946
Tom_Green,7031,46.12,8176,53.63,39,0.26,-1145,-7.51,15246
Travis,27022,54.85,22107,44.87,135,0.27,4915,9.98,49264
Trinity,1521,67.18,707,31.23,36,1.59,814,35.95,2264
Tyler,1242,46.76,1401,52.75,13,0.49,-159,-5.99,2656
Upshur,3248,58.48,2262,40.73,44,0.79,986,17.75,5554
Upton,930,52.84,798,45.34,32,1.82,132,7.50,1760
Uvalde,1324,37.27,2214,62.33,14,0.39,-890,-25.06,3552
Val_Verde,2049,56.87,1551,43.05,3,0.08,498,13.82,3603
Van_Zandt,2825,56.88,2120,42.68,22,0.44,705,14.20,4967
Victoria,5779,55.58,4591,44.16,27,0.26,1188,11.42,10397
Walker,1832,50.85,1750,48.57,21,0.58,82,2.28,3603
Waller,1101,48.57,1115,49.18,51,2.25,-14,-0.61,2267
Ward,2018,52.39,1763,45.77,71,1.84,255,6.62,3852
Washington,1864,41.52,2613,58.21,12,0.27,-749,-16.69,4489
Webb,10059,84.78,1802,15.19,4,0.03,8257,69.59,11865
Wharton,5004,59.16,3387,40.04,67,0.79,1617,19.12,8458
Wheeler,1011,41.37,1428,58.43,5,0.20,-417,-17.06,2444
Wichita,14587,53.60,12587,46.25,39,0.14,2000,7.35,27213
Wilbarger,2319,45.21,2796,54.51,14,0.27,-477,-9.30,5129
Willacy,2109,60.48,1367,39.20,11,0.32,742,21.28,3487
Williamson,5410,68.74,2429,30.86,31,0.39,2981,37.88,7870
Wilson,2905,69.88,1248,30.02,4,0.10,1657,39.86,4157
Winkler,1642,50.48,1562,48.02,49,1.51,80,2.46,3253
Wise,2470,48.90,2562,50.72,19,0.38,-92,-1.82,5051
Wood,2633,51.51,2400,46.95,79,1.55,233,4.56,5112
Yoakum,994,44.88,1207,54.49,14,0.63,-213,-9.61,2215
Young,2419,53.65,2067,45.84,23,0.51,352,7.81,4509
Zapata,675,72.19,260,27.81,0,0.00,415,44.38,935
Zavala,706,47.86,761,51.59,8,0.54,-55,-3.73,1475
Totals,1167567,50.52,1121310,48.52,22207,0.96,46257,2.00,2311084
